bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-2131_ses-220802idIC_task-rest_dir-AP_bold	0.0006342384769539079	0.020546165631262523	5	45.00053779179539	1.291889864784351	0.9807812333701108	0.45884266627075554	7157.9638671875	0.10061916163812618	62	6.212424849699399	1.7611986666666664	1.6751919999999998	1.8517679999999999	1.7566359999999999	0.00451779	-0.025259893387556076	0.02966221049427986	998	88	88	64	5.953722244320889	0.6069999933242798	2.5	2.5	2.5	37.28069379419195	6.077480555009096	23.56890296936035	6.445891857147217	353801.0	1.8306612968444824	109.96092224121094	48.25810623168945	2.887890090403805	76.2841553106138	550.6448974609375	544.3206787109375	72785.0	423.30260009765624	707.1058227539063	91.42464447021484	38.895828481181525
sub-2131_ses-220802idIC_task-rest_dir-PA_bold	0.0020319341563786006	0.012093358065843624	4	39.473295962255456	1.025888373192585	0.941719387600412	0.47386153135830894	1178.477294921875	0.19059989389102935	255	26.234567901234566	2.887450666666666	2.728104	2.976512	2.9577359999999997	0.0119721	-0.030876729637384415	0.05452551692724228	972	88	88	64	2.5146745533493844	0.6069999933242798	2.5	2.5	2.5	18.792891285146165	10.07010264135235	34.005157470703125	13.847736358642578	357453.0	6.5586419105529785	141.24403076171865	52.15415573120117	1.0352154863989167	171.7118326261896	500.4349060058594	467.54937744140625	70343.0	258.48035583496096	855.0599670410155	185.92706298828125	29.00326054682955
sub-2132_ses-180427idC63_task-rest_dir-AP_bold	0.002345915637860082	0.007024083271604938	4	41.079255368331644	1.1884858729351164	1.0269823018125648	0.48527231882088884	1408.4200439453125	0.09483106317759175	80	8.23045267489712	2.7635013333333327	2.61794	2.8533239999999997	2.8192399999999997	0.0038327	-0.01915045641362667	0.06050678715109825	972	88	88	64	2.8844038347188987	0.6069999933242798	2.5	2.5	2.5	28.82392386661421	6.235470523588957	26.999996185302734	10.405349731445312	345874.0	5.629629611968994	111.468822479248	46.01095962524414	1.0571346166771791	130.01595274760012	422.594970703125	400.1368103027344	73769.0	237.87591552734375	681.1259033203122	138.72332763671875	38.197568538598716
sub-2133_ses-180426idC64_task-rest_dir-AP_bold	0.00036612770339855826	0.009336153274974253	5	39.699687060969026	1.0860948584123717	0.9878611242371144	0.5431015765756732	439.70855712890625	0.15438215733291774	257	26.46755921730175	2.8665573333333327	2.6110119999999997	3.045436	2.943224	0.0224827	-0.03591347113251686	0.10748812556266785	971	88	88	64	2.0651823699585297	0.6069999933242798	2.5	2.5	2.5	26.80154172421258	15.171099174841997	44.63839340209961	18.395469665527344	316836.0	7.03475821018219	177.3408966064453	68.15846252441406	2.7791781922244203	162.03116587602966	456.2252502441406	409.674072265625	95098.0	226.26467895507812	846.5164642333982	198.37081909179688	33.97336106747389
sub-2136_ses-180503idC52_task-rest_dir-AP_bold	0.00028059670781893	0.005731972767489711	4	34.56746484017505	1.0841563365190525	0.9940518402574657	0.4729033687875209	1152.9744873046875	0.1669519445695447	320	32.92181069958848	2.916382666666667	2.8403680000000002	3.0701	2.83868	0.0126353	-0.011729811318218708	0.06652893871068954	972	88	88	64	2.5621853673495063	0.6069999933242798	2.5	2.5	2.5	23.67152120401032	9.806224229642105	33.23310852050781	13.310699462890625	357123.0	6.189300060272217	130.72221679687428	53.138248443603516	1.6795211673065822	156.87820920905625	481.4334716796875	452.3631591796875	69277.0	250.13600158691406	816.6977294921875	176.5523681640625	41.660774496383965
sub-2137_ses-180530idC66_task-rest_dir-AP_bold	0.0002955909558067832	0.011351196752312435	3	46.33133955362133	1.1811091785905368	0.9737405418312755	0.5444369006220788	297.8907775878906	0.18095816883989269	399	41.007194244604314	3.228025333333333	2.967724	3.256856	3.459496	0.00802524	-0.037148892879486084	0.1217908039689064	973	88	88	64	2.0147529939416176	0.6069999933242798	2.5	2.5	2.5	14.780767572904395	22.114086611393766	56.828670501708984	24.512847900390625	331131.0	7.760534763336182	232.42807006835938	84.73213195800781	2.4155592625842894	174.0145308686064	486.92889404296875	435.25439453125	87714.0	238.27220993041993	917.7420623779295	216.0323944091797	34.140653401147574
sub-2138_ses-180515idSA235_task-rest_dir-AP_bold	0.0015564065708418891	0.026635622073921974	2	43.69468669750254	1.196065049681398	1.0154420071942445	0.4474776290082049	6180.56005859375	0.15908439739415758	285	29.260780287474333	1.847084	1.7368839999999999	1.9652360000000002	1.839132	0.00884625	-0.011707715690135956	0.03303965926170349	974	88	88	64	6.616835443432028	0.6069999933242798	2.5	2.5	2.5	27.449441440836654	7.082698782022758	20.939876556396484	6.770020961761475	360151.0	1.5225872993469238	86.65400695800781	37.4656982421875	3.269450843728719	61.563012030052896	532.4827880859375	530.2669677734375	67527.0	407.23009033203124	661.6615234375	80.13846588134766	35.39375594165176
sub-2138_ses-220718idSA235_task-rest_dir-AP_bold	0.00035445822994210094	0.01905128494623656	3	41.24141829534771	1.2244943438245044	1.000785774850994	0.44597406058458144	6433.982421875	0.1603667863102862	377	31.182795698924732	1.8275199999999998	1.7362639999999998	1.918608	1.8276879999999998	0.00824313	-0.011800373904407024	0.0346447192132473	1209	88	88	64	6.632344103269481	0.6069999933242798	2.5	2.5	2.5	32.19616229100063	7.610445884745605	23.086990356445312	7.520264625549316	359667.0	1.9619520902633667	96.309676361084	42.6302604675293	2.7256082906657104	71.17350311978488	601.9199829101562	599.021484375	67919.0	461.5275543212891	750.4330017089842	90.31755065917969	42.572221790091135
sub-2139_ses-180601idSA237_task-rest_dir-AP_bold	0.0009316202270381837	0.02356068648090815	7	45.97984209150823	1.2359155936983484	1.0112597424483485	0.502570443006783	2408.491943359375	0.18181920074475377	323	33.333333333333336	1.8883400000000001	1.75466	2.013304	1.8970559999999999	0.0143557	-0.031136009842157364	0.04454012215137482	969	88	88	64	5.563245020569876	0.6069999933242798	2.5	2.5	2.5	27.144243740560608	12.495782555115804	31.80132484436035	10.88338565826416	343295.0	1.9587204456329346	131.08112335205075	53.152099609375	2.45240072505029	73.64967233710865	542.271728515625	533.5155029296875	82700.0	407.37536163330077	714.8610260009766	95.89947509765625	34.75262187793851
sub-2140_ses-180618idC69_task-rest_dir-AP_bold	0.0003206172839506173	0.006179290442386832	4	36.5455486401854	1.0935116251802282	0.9893491214006173	0.5163522544197856	899.0382080078125	0.12680955028589275	148	15.22633744855967	2.860381333333333	2.64912	2.945544	2.98648	0.00804126	-0.022446157410740852	0.06855316460132599	972	88	88	64	2.743724226864896	0.6069999933242798	2.5	2.5	2.5	24.91649887538101	10.428550362376976	32.40975570678711	13.880658149719238	330714.0	6.247941970825195	120.87942237853984	48.48772430419922	1.7888067806911874	142.38926547028524	450.5022888183594	427.6007995605469	88543.0	240.34813537597657	732.2331176757812	155.84597778320312	38.93988653062843
sub-2143_ses-180629idP142_task-rest_dir-AP_bold	0.00103967112024666	0.013744158684480987	3	37.599797039012394	1.089597391039096	0.9737773876337427	0.4559199953997477	1805.374755859375	0.1249690882512224	133	13.66906474820144	2.6436493333333333	2.412588	2.718704	2.7996559999999997	0.00891247	-0.012883367948234081	0.04217994585633278	973	88	88	64	3.114291408573467	0.6069999933242798	2.5	2.5	2.5	27.983805685388287	5.866412042496605	23.020524978637695	9.789311408996582	358335.0	5.206577777862549	86.89424819946281	38.18997573852539	1.0935978634757895	120.0450818156319	441.2794189453125	417.2646484375	66126.0	265.1685562133789	697.8006591796875	133.98280334472656	29.01679670275189
sub-2143_ses-190626idP142_task-rest_dir-AP_bold	0.00038315519013360736	0.017281592291880782	3	41.803139974999915	1.1029816269753103	0.9590662476748963	0.45094216207493604	1812.1187744140625	0.21179910430456747	351	36.07399794450154	2.7286	2.529392	2.772044	2.884364	0.00891132	-0.01077362336218357	0.04738378897309303	973	88	88	64	2.9603385155402986	0.6069999933242798	2.5	2.5	2.5	32.55764228731383	5.820699313018345	23.68711280822754	9.938335418701172	360442.0	5.632065773010254	88.5169086456299	40.04107666015625	1.4067225031595623	126.30614428501683	455.8747253417969	427.5806884765625	64809.0	270.45140380859374	735.8232543945312	144.435302734375	27.10307843342889
sub-2143_ses-210719idP142_task-rest_dir-AP_bold	0.0014509379615952733	0.018552303796159526	3	39.60348479445678	1.041378728403548	0.9847427594013307	0.46911964212867746	1399.4798583984375	0.2805061308346436	596	44.01772525849335	2.708577333333333	2.4786799999999998	2.8052520000000003	2.8418	0.00743182	-0.01590576581656933	0.05047111585736275	1354	88	88	64	3.0831506932083967	0.6069999933242798	2.5	2.5	2.5	27.472751326102163	7.199489429410215	26.492324829101562	11.064253807067871	357935.0	5.800590515136719	102.80398712158201	43.4078483581543	1.1832968737764533	122.60814487941076	441.6932373046875	417.05206298828125	67266.0	267.3593063354492	699.4540100097656	135.2671356201172	23.87336635251995
sub-2144_ses-180628idC70_task-rest_dir-AP_bold	0.00046274226804123703	0.006507378350515464	6	38.19759485028896	1.1301613562125892	0.9955401404540751	0.4993274678451651	979.1832275390625	0.13825085147252422	201	20.721649484536083	2.799616091120411	2.584324	2.948124	2.8664002733612324	0.00486187	-0.012391380965709686	0.06242247298359871	970	88	88	64	2.790311816352194	0.6069999933242798	2.5	2.5	2.499999761581421	23.22889076222293	9.83102932914882	32.291725158691406	13.33608341217041	342037.0	6.105154991149902	127.6484603881836	51.35635757446289	0.9109877700742501	141.31952779169245	448.1216125488281	425.0072326660156	78347.0	241.36619567871094	730.6353088378905	152.31434631347656	39.01187192997895
sub-2145_ses-180801idSA236_task-rest_dir-AP_bold	0.0005773532440782699	0.025719758084449023	5	41.852096537948405	1.1354178651546387	0.9968183044948448	0.4298006772989464	8272.234375	0.254544754115114	599	61.68898043254377	1.916163949848828	1.8009918282440351	2.085436198882694	1.8620638224197559	0.00242696	-0.01945505104959011	0.03723381832242012	971	88	88	64	6.13675566030409	0.6069999933242798	2.500000238418579	2.499999761581421	2.500000238418579	37.50766648361697	5.8678065207585535	21.687538146972656	6.15447998046875	368336.0	1.750772476196289	94.80252647399902	42.69309616088867	2.1427053526244784	68.30426423774959	558.3814086914062	554.0386962890625	61694.0	418.24914398193357	721.6758239746093	90.28128814697266	34.03871928481385
sub-2145_ses-220824idSA0236_task-rest_dir-AP_bold	0.000723500417710944	0.033024934168755224	3	45.408169417759204	1.1033721781103678	0.9951966417558519	0.43868941226060215	7239.31005859375	0.3568669115140144	925	77.2765246449457	1.8678746666666666	1.78338	2.010656	1.8095880000000002	0.00507828	-0.020051229745149612	0.035375405102968216	1197	88	88	64	6.005256998240748	0.6069999933242798	2.5	2.5	2.5	38.185748161876504	6.564571635167829	25.257986068725586	7.1862993240356445	365895.0	2.1804511547088623	111.97736129760739	48.78805923461914	2.2176851699393847	74.81820340999181	603.5771484375	598.2969970703125	63474.0	450.33568878173827	782.6235504150391	99.62808990478516	28.67742263688706
sub-2145_ses-220824idSA0236_task-rest_dir-PA_bold	0.0008886868686868686	0.026876791313131313	5	46.89624743906879	1.1094943239676107	0.9991195558502027	0.43148814565956645	7373.87353515625	0.3576047075520627	379	76.56565656565657	1.8252706666666665	1.734284	1.940288	1.80124	0.00939158	-0.02082393318414688	0.03153715655207634	495	88	88	64	5.716396080509309	0.6069999933242798	2.5	2.5	2.5	51.647949084333746	6.011278362297919	21.776458740234375	6.212121486663818	370917.0	1.9050506353378296	94.92768096923831	40.94629669189453	1.5826563557365692	80.62056771985495	520.9702758789062	517.4747924804688	60663.0	384.48707885742186	670.0321472167968	90.52391052246094	29.935096390545368
sub-2146_ses-180703idC71_task-rest_dir-AP_bold	0.0005860659114315139	0.005210396941297632	5	37.30674842755666	1.079567359927836	0.9977582116597938	0.5096531028753726	621.3657836914062	0.10939141678856751	92	9.474768280123584	2.9160186666666674	2.720708	3.019676	3.0076720000000003	0.00946331	-0.014018893241882324	0.07787857949733734	971	88	88	64	2.3103201629465775	0.6069999933242798	2.5	2.5	2.5	27.042602936856348	12.839550608779096	38.122379302978516	16.109167098999023	338169.0	6.315139293670654	149.96519470214838	60.6584587097168	2.0715027040005083	148.97939794501656	446.3216552734375	410.8486328125	80217.0	223.28384399414062	793.0766479492186	177.83079528808594	38.215663611888885
